Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_MTORC1_SIGNALING,0.4914908841743714,1.0,1.0,0.5558333333333334,0.021,49/200,12.77%,GAPDH;HSP90B1;LDHA;HSPA5;NAMPT;ENO1;NUPR1;CALR;PLOD2;TPI1;ERO1A;STC1;SERPINH1;EGLN3;SQSTM1;P4HA1;GBE1;PGM1;HK2;VLDLR;PGK1;SLC2A1;BCAT1;NFIL3;AK4;DDIT4;FKBP2;WARS1;PHGDH;ATP6V1D;MLLT11;CANX;ELOVL5;NHERF1;UFM1;PPP1R15A;DDIT3;BHLHE40;TXNRD1;CTH;SEC11A;SLC2A3;FDXR;PDK1;ALDOA;EIF2S2;CDKN1A;PSMB5;CCNG1
prerank,HALLMARK_COMPLEMENT,0.376322901136029,1.0,1.0,0.5558333333333334,0.021,27/200,4.80%,TIMP1;C3;C1R;PLAT;SERPINE1;MT3;C1S;HSPA5;SERPINB2;SERPING1;CXCL1;ANXA5;IL6;CFH;CFB;DPP4;C2;LGALS3;CEBPB;F3;SERPINC1;F7;HSPA1A;LTF;ANG;TFPI2;ZFPM2
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.4989588033238766,1.0,1.0,0.5558333333333334,0.021,78/200,21.35%,LDHA;CYB5A;MAOB;NDUFA4;COX7C;GPX4;SLC25A3;ACADVL;ACAA2;BDH2;ATP6V0E1;DECR1;VDAC1;OAT;NDUFC1;ATP6V1D;UQCRB;CYB5R3;COX4I1;UQCR11;ISCA1;ATP1B1;SLC25A4;ETFB;ATP5PD;NDUFV2;UQCRQ;BCKDHA;PRDX3;TIMM13;MTRR;MDH1;TIMM8B;ATP5F1D;NDUFB1;ETFDH;ATP5MC2;UQCR10;PDHB;ATP5PF;ALDH6A1;VDAC2;MGST3;HADHB;SUCLG1;NDUFA1;ECH1;NDUFB4;GRPEL1;COX7B;CASP7;RETSAT;NDUFS4;SLC25A6;HTRA2;NQO2;ATP6V0C;ATP5ME;NDUFA6;ATP6V1E1;NDUFA5;NDUFB8;COX7A2;ISCU;GPI;SUCLA2;TIMM17A;FXN;ATP6V1G1;POLR2F;ABCB7;UQCRC2;COX6B1;TIMM9;ACAA1;SDHD;PDHX;NDUFB2
prerank,HALLMARK_HYPOXIA,0.6162951068453463,1.0,1.0,0.5558333333333334,0.021,76/200,6.66%,MT2A;GAPDH;MT1E;SERPINE1;PLIN2;DCN;LOX;LDHA;HSPA5;ANXA2;IGFBP3;ANGPTL4;IGFBP1;CA12;ENO1;IER3;IL6;HAS1;UGP2;CAV1;LXN;MIF;NDRG1;ADM;ERRFI1;TPI1;ERO1A;WSB1;BNIP3L;STC1;CAVIN1;VEGFA;TMEM45A;EGFR;GPC3;FAM162A;F3;PYGM;ADORA2B;PNRC1;P4HA1;PPP1R3C;TPBG;P4HA2;GBE1;CAVIN3;PGM1;DPYSL4;HK2;CCN5;NOCT;PRDX5;DTNA;COL5A1;VLDLR;PGK1;TGFB3;SELENBP1;SLC2A1;ENO2;NFIL3;AK4;PGM2;PPFIA4;STBD1;JUN;PIM1;CDKN1C;STC2;KDELR3;SDC4;HDLBP;DDIT4;MXI1;INHA;ALDOC
prerank,HALLMARK_FATTY_ACID_METABOLISM,0.28174661756096575,1.0,1.0,0.5558333333333334,0.021,27/158,8.36%,LGALS1;S100A10;LDHA;MIF;INMT;OSTC;FABP2;ALDH1A1;UGDH;PRDX6;CIDEA;MAOA;G0S2;VNN1;AQP7;ENO2;ACADVL;ACAA2;DECR1;ACSL4;ALDH9A1;CBR3;ECI2;FMO1;ODC1;TDO2;ELOVL5
prerank,HALLMARK_APOPTOSIS,0.503685083115722,1.0,1.0,0.5558333333333334,0.021,29/160,6.25%,TIMP1;PLAT;SOD2;DCN;KRT18;SAT1;LUM;IGFBP6;ANXA1;IFITM3;IER3;IL6;CAV1;BMP2;BNIP3L;TNFRSF12A;LGALS3;LMNA;SQSTM1;IL1A;FAS;BCL2L10;GPX4;ENO2;FEZ1;HSPB1;JUN;EMP1;SPTAN1
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.4476591945535252,1.0,1.0,0.5558333333333334,0.021,65/200,11.93%,SERPINE1;SOD2;SAT1;EIF1;SERPINB2;NAMPT;CXCL6;IL6ST;CXCL1;IER3;IL6;PTX3;BMP2;CXCL2;GFPT2;VEGFA;CEBPD;CEBPB;F3;TNFAIP6;SPSB1;SQSTM1;LIF;PNRC1;B4GALT1;IL1A;DRAM1;TUBB2A;MSC;GEM;FOSL1;G0S2;ID2;NFIL3;PTGS2;JUN;SDC4;ICAM1;PHLDA2;NFKBIA;SGK1;PDLIM5;CCN1;CCL20;SMAD3;SLC2A6;TSC22D1;MAFF;PPP1R15A;KLF9;BHLHE40;NINJ1;RCAN1;BTG3;GADD45A;FOSL2;TNFRSF9;RHOB;SLC2A3;CLCF1;PANX1;CCL2;ZC3H12A;ACKR3;MAP3K8
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6574822318204132,1.0,1.0,0.5558333333333334,0.021,88/200,8.21%,TIMP1;LGALS1;COL3A1;VIM;SERPINE1;DCN;SAT1;LOX;SPARC;NNMT;PPIB;LUM;IGFBP3;MGP;CXCL6;IGFBP4;ABI3BP;IGFBP2;CXCL1;IL6;CALD1;DAB2;GAS1;PLOD2;CXCL12;PTX3;TPM2;FBLN1;SERPINE2;VCAM1;TPM1;CXCL8;VEGFC;SLIT3;EMP3;VEGFA;TNFRSF12A;COL6A2;SERPINH1;RGS4;FGF2;EFEMP2;TNFRSF11B;QSOX1;NID2;FSTL1;FSTL3;PMP22;APLP1;FERMT2;DKK1;GJA1;LOXL2;GEM;FAS;TFPI2;COL5A1;ID2;PCOLCE2;ENO2;PDLIM4;SGCB;FMOD;ITGB3;MEST;THY1;CALU;JUN;CDH11;MYLK;FBLN2;SDC4;SNAI2;COL5A2;SPOCK1;CAP2;SLIT2;DPYSL3;THBS2;ITGA5;CCN1;TGM2;MATN2;TIMP3;BMP1;ECM2;SGCG;GPC1
prerank,HALLMARK_ADIPOGENESIS,0.45506805447404436,1.0,1.0,0.5558333333333334,0.021,61/200,15.29%,C3;ADIPOQ;PLIN2;ANGPTL4;UBC;MRAP;ENPP2;PTGER3;HSPB8;LAMA4;CAVIN1;ITIH5;LEP;APLP2;CAVIN2;CIDEA;GBE1;PGM1;CD151;DNAJB9;GPX4;RAB34;ACAA2;MYLK;DECR1;TST;CMBL;SCP2;UQCR11;MTARC2;ETFB;GADD45A;UQCRQ;SULT1A1;BCKDHA;ORM1;PIM3;PRDX3;BCL2L13;CRAT;CCNG2;ALDOA;RIOK3;PHLDB1;FAH;DHRS7;UQCR10;JAGN1;MGST3;ACADS;SUCLG1;ITSN1;VEGFB;NABP1;SOD1;ECH1;GRPEL1;COX7B;RNF11;NMT1;STOM
prerank,HALLMARK_COAGULATION,0.35212209430484614,1.0,1.0,0.5558333333333334,0.021,26/138,4.99%,TIMP1;C3;C1R;PLAT;SERPINE1;C1S;SPARC;SERPINB2;ANXA1;SERPING1;CFH;CFB;FGG;MST1;DPP4;CFI;C2;F3;SERPINC1;ANG;PRSS23;TFPI2;PROS1;GNG12;ARF4;CTSE
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4276126133487934,1.0,1.0,0.5558333333333334,0.021,19/199,2.84%,MT2A;B2M;C1R;SOD2;C1S;NAMPT;HLA-B;SERPING1;IFITM3;IL6;CFH;CFB;VCAM1;HLA-A;ARID5B;IFI27;LY6E;LGALS3BP;TNFAIP6
prerank,HALLMARK_G2M_CHECKPOINT,0.4377625059696682,1.0,1.0,0.5558333333333334,0.021,1/198,0.01%,MT2A
